delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra 
KLICNI CENTER<strong>ADMINISTRATIVNA DELA</strong>;4,06 €/h neto;MARIBOR;Pomoè v klicnem centru veèjega slovenskega operaterja: sprejemanje enostavnih klicev in lažja administrativna dela, posredovanje informacij po oddelkih, osnovno znanje uporabe osebnega raèunalnika – MS Office: delo z bazami podatkov ter odlièno znanje slovenskega jezika (pisno in verbalno) in komunikacijske sposobnosti. Natanènost, odgovornost, prijaznost, ustrežljivost, prilagodljivost ter sposobnost dela v teamu. Prijave sprejemajo na navedeni e-naslov  do 4.11.2018.; 4 ; DLJE ÈASA; Dopoldan; 280371
PRODAJA;4,14 €/h neto;POSTOJNA;Podjetje išèe osebo za obèasno pomoè pri prodaji v salonu zaves. Pomoè potrebujejo ob vikendih, ostalo po dogovoru. Pogoji: resnost, prilagodljivost ter starost nad 18 let.; 1 ; PO DOGOVORU; Med vikendom; 280370
PRODAJA<strong>DELO V LOTERIJI</strong>;4,22 €/h neto;JESENICE;Delo v loteriji. Pogoji: starost nad 19 let, resnost in komunikativnost.; 1 ; DLJE ÈASA; Izmensko; 280369
MERITVE;5,07 €/h neto;LJUBLJANA;Opravljanje elektriènih meritev oz. testiranje varnosti elektronskih naprav pod nadzorom v laboratorijih na podroèju varnosti in elektromagnetike. Pogoji: študent Fakultete za elektotehniko, poznavanje osnov elektrotehnike in elektriènih meritev, dobro znanje anglešèine, raèunalniška in matematièna pismenost, roène spretnosti, samoiniciativnost, komunikativnost, sposobnost reševanja problemov. Prilagajanje delovnega èasa štud. obveznostim. Ponudbo za delo s priloženim CV poslati na e-naslov.; 5 ; DLJE ÈASA; Dopoldan; 280367
DELO V SKLADIŠÈU;4,65 €/h neto;GROSUPLJE;Pomoè pri urejanju skladišèa, urejanju okolice poslovne stavbe in razna pomožna dela v delavnici. Možno dolgoroènejše sodelovanje.; 1 ; MESEC DNI; Dopoldan; 280366
STREŽBA;4,65 €/h neto;CELJE;Išèejo simpatièno in komunikativno osebo za pomoè v strežbi. Pogoji: starost nad 18 let in izkušnje v strežbi. Prièetek dela je takoj in bo trajalo ca. 1 mesec, oziroma po dogovoru lahko tudi dlje èasa.; 2 ; CA. 1 MESEC, OZ. PO DOGOVORZU; Izmensko; 280365
ADMINISTRATIVNA DELA;4,80 €/h neto;LJUBLJANA VIÈ;Delo je administrativne narave, npr. knjiženje raèunov in s tem povezana ostala dela. Od kandidata/ke se prièakuje natanènost in marljivost, znanje angleškega jezika, po možnosti tudi nemškega (osnove).; 1 ; DLJE ÈASA; dopoldan; 280364
DELO V PROIZVODNJI;4,22 €/h neto;LJUBLJANA;Znano farmacevtsko podjetje potrebuje veè polnoletnih osebi za delo v proizvodnji podjetja na razliènih oddelkih. Delo je 3 izmensko. Plaèilo za noèno delo je 6 € bruto/h. Prijavo s CV pošlji na e-naslov.; 10 ; DLJE ÈASA; Izmensko; 280363
PAKIRANJE;4,22 €/h neto;LJUBLJANA;Znano farmacevtsko podjetje potrebuje polnoletne osebe za delo v pakirnici na razliènih oddelkih. Dela se v treh izmenah. Dnevna urna postavka  od 5,50 - 6.00€/h bruto, noèna urna postavka  od 7,00 - 8,25€/h bruto. V podjetju nudijo tudi malico. Prijavo s CV pošlji na e-naslov.; 8 ; DLJE ÈASA; Izmensko; 280362
DELO V SKLADIŠÈU;4,22 €/h neto;PREVALJE;Znano farmacevtsko podjetje potrebuje polnoletno osebo za delo v skladišèu. Delo je izmensko. Prijavo s CV pošljite na e-naslov.; 1 ; DLJE ÈASA; Izmensko; 280361
RAÈUNOVODSKA DELA;4,65 €/h neto;LJUBLJANA;V agenciji za zaposlovanje išèejo natanèno, vestno in motivirano osebo za raèunovodska dela: knjiženje prejetih raèunov, kontrola podatkov za obraèun plaè in ostala administrativna dela. Pogoj je ekonomska smer izobrazbe. Nudijo možnost dolgoroènega sodelovanja. Prijave prejemajo na e-mail.; 1 ; DLJE ÈASA; Dopoldan; 280360
ADMINISTRATIVNA DELA;4,00 €/h neto;LJUBLJANA;Fleksibilno projektno delo v uredništvu - podpora urednici.  Potrebujejo vestno, kumunikativno, natanèno, samoiniciativno osebo, ki ji uèenje predstavlja zadovoljstvo in se hitro prilagaja situacijam. Pogoj: odlièno znanje Word-a in Excel-a, Outlook-a, interneta (prednost je Wordpress, MailChimp, Indesign, Photoshop). Cv na mail do 04.11.2018.; 1 ; DLJE ÈASA; Dopoldan; 280359
PRODAJA;4,00 €/h neto;MARIBOR;Podjetje išèe študenta/ko za delo v prodajalni z modnimi športnimi oblaèili. Dela se popoldan in tudi med vikendi. Pogoji: izkušnje v prodaji z oblaèili, veselje do dela s strankami. Prijave sprejemajo na e-mail (obvezno pripišite svojo telefonsko številko).; 1 ; DLJE ÈASA; Popoldan; 280358
DELO NA BENCINSKEM SERVISU<strong>DELO V AVTOPRALNICI</strong>;4,00 €/h neto; KOMENDA;Potrebujejo polnoletnega kandidata  za delo na bencinskem servisu (polnjenje goriva, skrb za urejen videz BS, delo na blagajni, pomoè strankam, polnjenje polic) ter za delo v avtopralnici.; 1 ; DLJE ÈASA; Izmensko; 280357
DELO V ORDINACIJI;4,00 €/h neto;LJUBLJANA;Podjetje išèe osebo za delo zobnega asistenta. Zaželeno je, da je študent/ka dentalne medicine, zdravstvenih smeri ali drugih sorodnih študijev.; 1 ; DLJE ÈASA; Izmensko; 280356
DELO S STRANKAMI;4,65 €/h neto;MARIBOR;Te zanima gradbeništvo? Te zanima arhitektura? Te zanima projektiranje? V  kolektivu išèejo sodelavca/ko za delo s strankami. Èe te zanima, prièakujejo tvoj klic.; 1 ; DLJE ÈASA; Izmensko; 280354
PRODAJA<strong>PROJEKTIRANJE</strong>;4,65 €/h neto;MARIBOR;Išèejo mlado, ambiciozno osebo, ki ima voljo do uèenja in ima obèutek za delo s strankami. Zaželena znanja in vešèine: anglešèina, raèunalniška pismenost. Dela se v dveh izmenah. Delo obsega tudi svetovanje in projektiranje za stranke. Ponudba obsega vse za kopalnico (sanitarna oprema, armature, kabine ipd.). Po opravljenem uvajanju (plaèanem) je plaèilo sestavljeno iz fiksnega in stimulativnega dela. Nudijo možnost poznejše zaposlitve.; 1 ; DLJE ÈASA; Izmensko; 280353
STREŽBA;4,00 €/h neto;SLOVENJ GRADEC;Pogoj je starost nad 18 let, zaželene so izkušnje. Strežba pijaèe v hostlu.; 1 ; DALJ ÈASA; Popoldan; 280352
POMOÈ PRI PRODAJI;4,65 €/h neto;KOPER;Podjetje išèe polnoletno osebo za pomoè pri prodaji športne opreme, urejanje trgovine in pomoè strankam.; 1 ; DLJE ÈASA; Izmensko; 280349
RAÈUNALNIŠKE STORITVE<strong>TESTIRANJE PROGRAMSKE OPREME</strong>;4,00 €/h neto;LJUBLJANA;Podjetje išèe študenta/ko Fakultete za raè. in informatiko, 2.stopnja, poznavanje osnov SQL. Gre za testiranje nove aplikacije s pomoèjo SQL (priprava testnih scenarijev, izvedba testa, preverjanje rezultatov testa...) v okviru projekta NGT.; 1 ; DO 31.12.2018; Dopoldan; 280347
DELO V SKLADIŠÈU;5,50 €/h neto;LJUBLJANA;Delo v skladišèu, komisioniranje, priprava nalogov, razklad, naklad, delo z vilièarjem. Priporoèen je izpit za vilièarja. Možnost kasnejše redne zaposlitve.; 1 ; DO 31.03.2019; dopoldan; 280346
POMOÈ PRI PRODAJI;4,22 €/h neto;CELJE;Pomoè pri prodaji na razliènih oddelkih trgovine Zara. Polnoletnost ni pogoj. Delo poteka izmensko, med tednom in vikendi, po sprotnem dogovoru. Èe te veseli delo z ljudmi pošlji prijavo s pripisom ZARA CELJE in obvezno pripiši kontaktno številko na e-mail.; 3 ; DLJE ÈASA; Izmensko; 280345
STREŽBA HRANE IN PIJAÈE;4,23 €/h neto;PREBOLD/GOMILSKO;Podjetje potrebuje dve osebi za strežbo hrane in pijaèe. Pogoji: starost nad 18 let, komunikativnost. Zaželene so izkušnje v strežbi.; 1 ; DLJE ÈASA; Izmensko; 280344
STREŽBA;6,00 €/h neto;LJUBLJANA BTC;Išèejo veè prijaznih oseb za strežbo v kavarni trgovskega centra. Lokal obratuje med tednom od 6. do 20. ure, vikendi so prosti. Izkušnje so zaželene, urnik pa je fleksibilen. Poklièi.; 4 ; DLJE ÈASA; Izmensko; 280343
DELO V AVTOPRALNICI;4,00 €/h neto;LJUBLJANA BTC;Delovni èas je prilagodljiv, ob nedeljah in praznikih je zaprto. Pogoj je starost nad 18 let.; 1 ; DLJE ÈASA; Izmensko; 280342
DELO NA BENCINSKEM SERVISU;4,00 €/h neto;LJUBLJANA BTC;Delovni èas je prilagodljiv, ob nedeljah in praznikih je zaprto. Pogoj je starost nad 18 let.; 1 ; DLJE ÈASA; Izmensko; 280341
DELO V KUHINJI;4,00 €/h neto;LJUBLJANA BTC;Priprava hrane na bencinskem servisu (delo na svežem programu). Delovni èas je prilagodljiv, ob nedeljah in praznikih je zaprto. Pogoj je starost nad 18 let.; 1 ; DLJE ÈASA; Izmensko; 280340
ADMINISTRATIVNA DELA;5,07 €/h neto;LJUBLJANA;Pomoè v administraciji.; 1 ; DLJE ÈASA; Po dogovoru; 280339
ADMINISTRATIVNA DELA<strong>DELO V LOGISTIKI</strong>;4,20 €/h neto;LJUBLJANA - ŠIŠKA;Delo v administraciji logistike: delo z dokumenti (knjiženje, preverjanje, usklajevanje z raèunovodstvom), kontrola podatkov na artiklih (cene, nazivi ipd.), komunikacija z maloprodajo in dobavitelji. Želena znanja: MS Office, komunikativnost. znanje angleškega, hrvaškega jezika. Delo poteka v dopoldanskem èasu od ponedeljka do petka.; 1 ; DLJE ÈASA; dopoldan; 280338
PRODAJA;5,07 €/h neto;DOMŽALE, KAMNIK;Išèejo študenta/ko za prodajo in svetovanje ter trženje storitev za telekomunikacijskega operaterja. Delo poteka v poslovni enoti. Zaželene so izkušnje iz prodaje. Prijavo pošljite na e-mail.; 1 ; DLJE ÈASA; Izmensko; 280337
STREŽBA;4,50 €/h neto;MARIBOR;Kavarna išèe dve osebi za strežbo. Poleg urne postavke, vam pripada tudi plaèilo stimulacije. Pogoj je starost nad 18 let.; 2 ; DLJE ÈASA; Po dogovoru; 280336
STREŽBA HRANE IN PIJAÈE<strong>STREŽBA</strong>;5,50 €/h neto;MARIBOR CENTER;Podjetje potrebuje tri polnoletne osebe za delo v strežbi. Poleg urne postavke vam pripadata še napitnina in malica.; 3 ; DLJE ÈASA; Izmensko; 280335
POMOÈ V KUHINJI<strong>DELO V KUHINJI</strong>;4,20 €/h neto;MARIBOR CENTER;Lokal v centru Maribora potrebuje dve osebi za delo v kuhinji. Malica je zagotovljena.; 2 ; DLJE ÈASA; Po dogovoru; 280334
DELO V KUHINJI<strong>KUHAR</strong>;5,50 €/h neto;MARIBOR CENTER;Lokal v centru Mariboru potrebuje dva kuharja/-ici.; 2 ; DLJE ÈASA; Po dogovoru; 280333
PRODAJA<strong>ADMINISTRATIVNA DELA</strong>;5,00 €/h neto;MARIBOR EUROPARK;Podjetje išèe komunikativno in ambiciozno osebo za delo v mladem timu. Zajema prodajo ter sklepanje naroèniških pogodb za telekomunikacijske storitve. Možnost napredovanja ter dodatnega zalužka glede na uspešnost. Zaželene so izkušnje s podroèja prodaje. Prijave in CV pošljite na email podjetja.; 1 ; DLJE ÈASA; Po dogovoru; 280332
FIZIÈNA DELA;4,20 €/h neto;LJUBLJANA;Prenos omar in postelj. Pogoj je starost nad 18 let in fizièna moè. Delo poteka cca 8 ur.; 1 ; 29.10.2018- 30.10.2018; Po dogovoru; 280331
DELO V SKLADIŠÈU;5,20 €/h neto;LJUBLJANA ÈRNUÈE;; 1 ; DLJE ÈASA; dopoldan; 280330
MEDICINSKA SESTRA;4,22 €/h neto;LJUBLJANA - BEŽIGRAD;Pogoj je starost nad 18 let. Dermatološka ambulanta išèe urejenega/o študenta/ko ali absolventa/ka zdravstvene nege. Opis dela: poznavanje raèunalniških programov, znanje parenteralne terapije, vstavljanje kanalov, prva pomoè, administrativna dela, veselje do dela z medicinskimi aparati,  zanesljivost, toènost. Lastna delovna uniforma.; 1 ; DLJE ÈASA; Izmensko; 280329
FIZIÈNA DELA;PO DOGOVORU;LJUBEÈNA;Podjetje išèe študenta/ko za pomoè pri razstavljanju strojev. Pogoj je študij tehnièni smeri, mehatronike ali elektrotehnike. Prijave sprejemajo na e-mail.; 1 ; DLJE ÈASA; Po dogovoru; 280328
HOSTES/A<strong>PROMOCIJA</strong>;5,49 €/h neto;MARIBOR;Potrebujejo osebe za opravljanje hostesnega dela na razliènih lokacijah. Izkušnje so zaželene. Prijave sprejemajo na elektronski naslov.; 15 ; DLJE ÈASA; Po dogovoru; 280326
DELO NA TERENU<strong>VOZNIK</strong>;4,00 €/h neto;BRNIK;Premikanje vozil po Sloveniji in tujini. Pogoji: vozniški izpit B-kategorije najmanj 3 leta, starost nad 21 let, pasivno znanje angleškega jezika in psihofizièna zmožnost vožnje na daljše razdalje.; 4 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 280324
ADMINISTRATIVNA DELA;4,22 €/h neto;LETALIŠÈE BRNIK;Podjetje potrebuje osebo za lažja administrativna dela: vnos podatkov v sistem, arhiviranje ter skeniranje in kopiranje dokumentov.; 2 ; PO DOGOVORU; Dopoldan; 280323
DELO NA TERENU<strong>VOZNIK</strong>;4,00 €/h neto;KOPER;Premikanje vozil po Sloveniji in tujini. Pogoji: vozniški izpit B-kategorije najmanj 3 leta, starost nad 21 let, pasivno znanje angleškega jezika in psihofizièna zmožnost vožnje na daljše razdalje.; 4 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 280322
DELO NA TERENU;5,00 €/h neto;OKOLICA LJUBLJANE;Pomoè pri postavitvah in prestavitvah steklenih razstavnih box-ov na razliènih lokacijah. Zaèetek dela je èim prej oz. po dogovoru. Delo je obèasno. Pogoji: polnoletnost, odgovornost in poštenost. Za veè info so na voljo.; 2 ; PO DOGOVORU; Po dogovoru; 280321
DELO NA TERENU<strong>VOZNIK</strong>;4,00 €/h neto;LJUBLJANA;Premikanje vozil po Sloveniji in tujini. Pogoji: vozniški izpit B-kategorije najmanj 3 leta, starost nad 21 let, pasivno znanje angleškega jezika in psihofizièna zmožnost vožnje na daljše razdalje.; 4 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 280320
DELO NA TERENU<strong>VOZNIK</strong>;4,00 €/h neto;CELJE;Premikanje vozil po Sloveniji in tujini. Pogoji: vozniški izpit B-kategorije najmanj 3 leta, starost nad 21 let, pasivno znanje angleškega jezika in psihofizièna zmožnost vožnje na daljše razdalje.; 4 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 280319
RAZVOZ;5,00 €/h neto;LJUBLJANA - CENTER IN BTC;Razvoz hrane s kolesom v Ljubljani (center in BTC). Pogoji: starost nad 18 let, zanesljivost, odgovornost, prijaznost ter lastno kolo. Urnik je fleksibilen in delo lahko prilagajaš z ostalimi obveznostmi. Plaèilo je sestavljeno iz fiksne postavke ter dodatka. Prednost imajo tisti, ki išèejo delo za daljši èas. Delo poteka od ponedeljka do petka, možno pa je tudi delo ob vikendih. Prijave sprejemajo na navedeni e-naslov.; 3 ; PO DOGOVORU; Po dogovoru; 280317
POMOÈ PRI PRODAJI<strong>DELO V TRGOVINI</strong>;4,00 €/h neto;MARIBOR;Podjetje išèe osebo za obèasno pomoè pri prodaji tekstilnih izdelkov (odeje, vzglavniki, posteljnine inp). Pogoji: starost nad 22 let, izkušnje pri delu z ljudmi, znanje dela z blagajno, komunikativnost in pozitivna naravnanost.; 1 ; PO DOGOVORU; Po dogovoru; 280316
DELO V KUHINJI<strong>PRIPRAVA HRANE</strong>;4,73 €/h neto;MARIBOR TEZNO;Delo v restavraciji s hitro prehrano. Delovni èas je fleksibilen. Plaèilo ob praznikih in v noènem èasu znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijaèo. Zainteresirani, poklièite ali pa se v restavraciji kar osebno oglasite.; 10 ; MINIMALNO 6 MESECEV; Po dogovoru; 280315
DELO V KUHINJI<strong>PRIPRAVA HRANE</strong>;4,73 €/h neto;MARIBOR TRŽAŠKA;Delo v restavraciji s hitro prehrano. Delovni èas je fleksibilen. Plaèilo ob praznikih in v noènem èasu znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijaèo. Zainteresirani, poklièite ali pa se v restavraciji kar osebno oglasite.; 10 ; MINIMALNO 6 MESECEV; Po dogovoru; 280314
DELO V KUHINJI<strong>PRIPRAVA HRANE</strong>;4,73 €/h neto;MARIBOR ZRKOVCI;Delo v restavraciji s hitro prehrano. Delovni èas je fleksibilen. Plaèilo ob praznikih in v noènem èasu znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijaèo. Zainteresirani, poklièite ali pa se v restavraciji kar osebno oglasite.; 10 ; MINIMALNO 6 MESECEV; Po dogovoru; 280313
DELO V KUHINJI<strong>PRIPRAVA HRANE</strong>;4,73 €/h neto;MARIBOR EUROPARK;Delo v restavraciji s hitro prehrano. Delovni èas je fleksibilen. Plaèilo ob praznikih znaša 7,20 € bruto/h. Podjetje nudi poleg urne postavke tudi pijaèo. Zainteresirani, poklièite ali pa se v restavraciji kar osebno oglasite.; 10 ; MINIMALNO 6 MESECEV; Po dogovoru; 280312
STREŽBA;4,50 €/h neto;ŠTORE;Podjetje potrebuje polnoletno, zanesljivo, komunikativno ter vestno osebo za delo v strežbi. Gre za delo v popoldanskem in dopoldanskem èasu, oz. po dogovoru in potrebi. Interesenti naj poklièejo na kontakt podjetja.; 1 ; DLJE ÈASA, PO DOGOVORU; Izmensko; 280311
DELO V PROIZVODNJI;4,00 €/h neto;MARIBOR;Delo v proizvodnji: lepljenje, zlaganje in pakiranje. Dela se z lahkimi kartonskimi materiali. Pogoji: starost nad 20 let, vestnost, natanènost in volja do dela.; 2 ; DLJE ÈASA; Izmensko; 280310
DELO V PROIZVODNJI;4,60 €/h neto;MENGEŠ;Delo v proizvodnji (sestavljanje). Zaželene so roène spretnosti. Prièetek dela je takoj. Prijavo pošlji na e-naslov ali poklièi.; 1 ; PO DOGOVORU; Dopoldan; 280309
DELO V SKLADIŠÈU;4,50 €/h neto;CELJE;Podjetje išèe veè polnoletnih oseb za delo v skladišèu, Delo obsega pripravo blaga za stranke, prevzemanje blaga, ...; 4 ; DO 20.12.2018; Izmensko; 280306
FIZIÈNA DELA;4,50 €/h neto;KOPER;Pomoè pri odpremi goriva. Sodelovanje pri polnjenju in praznjenju železniških cistern ter oznaèevanje in pregledovanje le-teh. Potrebno je skrbeti za red in èistoèo svojega delovnega okolja. Prijavo pošljete na email.; 2 ; DVA MESECA; Dopoldan; 280304
PRODAJA<strong>DELO V TRGOVINI</strong>;5,00 €/h neto;NOVA GORICA;Podjetje išèe študente/-ke za delo v trgovini. Delo poteka v manjšem pozitvnem timu, ki zajema svetovanje strankam, prodajo, delo z zalogami in blagajno, pripravo ponudb in pogodb, urejanje trgovine ter ostala dela v trgovini. Pogoji so starost nad 18 let, komunikativnost in veselje do dela z ljudmi. Prednost imajo osebe z izkušnjami na podroèju prodaje.; 1 ; DLJE ÈASA; Izmensko; 280303
DELO V SKLADIŠÈU;4,50 €/h neto;LJUBLJANA ÈRNUÈE;Pomoè pri deklariranju izdelkov, priprava promo paketov po navodilih, urejanje skladišèa, pomoè pri prevzemu in prenosu blaga v skladišèe. Delo je obèasno, predhodna najava del - datum in trajanje dela javijo dan prej. Prièakujejo fleksibilnost, fizièno pripravljenost in vozniški izpit B kategorije.; 1 ; PO POTREBI; Dopoldan; 280302
DELO V SKLADIŠÈU;4,70 €/h neto;LJUBLJANA;Pomoè v skladišèu pri pakiranju pohištvenih roèajev. Z delom se priène ob 6.45.; 1 ; DLJE ÈASA; Dopoldan; 280301
ADMINISTRATIVNA DELA<strong>STROKOVNA ADMIN. DELA</strong>;5,07 €/h neto;LJUBLJANA;Farmacevtsko podjetje potrebuje polnoletno osebo za administrativna dela na oddelku procesnega inženiringa in avtomatizacije (pomoè pri administraciji, priprava dokumentacije za v arhiv in priprava map strojev). Študij: strojna, elektro, kemija, ekonomija (obvezno obèutek za tehniko). Pogoj: napredno znanje Excela (pivot tabele, vlookup, obdelava podatkov). Prijavo s CV pošljite na e-naslov.; 1 ; DLJE ÈASA; Dopoldan; 280300
ADMINISTRATIVNA DELA<strong>TAJNIŠKA DELA</strong>;4,65 €/h neto;LENDAVA;Znano farmacevtsko podjetje potrebuje polnoletno osebo za administrativna dela (priprava tabel in predstavitve, urejanje intranetnih strani, pomoè pri organizaciji dogodkov. Pogoji: znanje angleškega jezika in dobro poznavanje orodij MS Office. Dopoldansko delo. Prijavo s CV pošljite na e-naslov.; 1 ; DLJE ÈASA; Dopoldan; 280298
POMOÈ V TRGOVINI;4,01 €/h neto;LJUBLJANA BTC;Pomoè pri prodaji. Zaželeno, da si iz Ljubljane ali okolice. Potrebujejo osebo, ki ima veliko èasa in je prilagodljiva glede urnika. Obvezne so izkušnje s prodajo v trgovini.; 1 ; DLJE ÈASA; Izmensko; 280297
STREŽBA;4,65 €/h neto;LJUBLJANA CENTER;Kavarnica v centru Ljubljane išèe polnoletno osebo za pomoè v strežbi. Delo poteka v prijetnem kolektivu in sprošèenem vzdušju. Izkušnje niso pogoj. Plaèilo je redno in z možnostjo kasnejše zaposlitve. Urnik je zelo prilagodljiv.; 2 ; PO DOGOVORU; Izmensko; 280296
PRODAJA;7,00 €/h neto;MENGEŠ;Podjetje išèe komunikativne osebe s prodajno žilico za delo v spletni trgovini. Zaželene so izkušnje, niso pa pogoj. Prijavo lahko pošljete na e-mail ali jih poklièete.; 1 ; DLJE ÈASA; Po dogovoru; 280295
BLAGAJNIK;4,65 €/h neto;KOPER;Delo za blagajno in strankami, skeniranje dokumentov, pomoè v pisarni.; 1 ; DLJE ÈASA; Izmensko; 280294
GRADBENA DELA;6,76 €/h neto;VELENJE;Podjetje išèe osebo za obèasno pomoè pri gradbenih delih - betoniranje plošèe. Zaželena je starost nad 18 let. Ob urni postavki nudijo tudi malico. Prièetek dela je takoj.; 1 ; OBÈASNO, PO DOGOVORU; Po dogovoru; 280293
STREŽBA HRANE IN PIJAÈE;5,70 €/h neto;LJUBLJANA;Išèejo zanesljivo in pošteno osebo.; 2 ; DLJE ÈASA; Izmensko; 280290
LAŽJA FIZIÈNA DELA;5,00 €/h neto;KAMNIK;Išèejo osebe za pomoè v proizvodnji alu stavbnega pohištva. Delo obsega lažja fizièna dela in pomoè pri sestavljanju elementov. Izkušnje niso potrebne. Zahteva se odgovornost in poštenost. Zaèetek dela je takoj. Za veè informacij poklièite ali pišite na e-mail.; 2 ; PO DOGOVORU; Po dogovoru; 280289
PROGRAMIRANJE;5,92 €/h neto;LJUBLJANA ŠKOFLJICA;Zaželeno: znanje programskih jezikov za izdelovanje spletnih strani in trgovin (html, css, js, jquery, mysql, php), poznavanje wordpress in woocomerce platforme. Izkušnje z google analytic in google ads, poznavanje delovanja seo, samoiniciativnost, hitro uèenje, prijetno delovno okolje, brez pritiskov ter možnost dela na dodatnih zanimivih projektih, dodatno nagrajevanje.; 1 ; DLJE ÈASA; Dopoldan; 280288
RAZISKOVALNO DELO;6,00 €/h neto;KAMNIK;Išèejo študenta/ko mikrobiologije, ki se ne boji samostojnega dela pri raziskovalnih in razvojnih projektih, povezanih z inovativnimi mikrobiološkimi tehnologijami in novimi izdelki, ter naèrtovanje in izvajanje eksperimentalnega dela.; 1 ; DLJE ÈASA; Po dogovoru; 280287
TRENER/KA;12,00 €/h neto;LJUBLJANA;Išèejo  plesnega trenerja na podroèju jazz baleta. Obvezno plesno predznanje.; 1 ; DLJE ÈASA; Popoldan; 280286
DELO NA RAÈUNALNIKU;4,22 €/h neto;LJUBLJANA;Vnašanje in urejanje podatkov v programu Navision, urejanje besedil v Wordu, delo z Excelom, preverjanje podatkov preko interneta in telefona. Zahteve: poznavanje Excel in Word orodij, poznavanje interneta in elektronske komunikacije. Prijavo pošlji na e-naslov.; 1 ; DLJE ÈASA; Dopoldan; 280285
PREVAJANJE;5,00 €/h neto;HRASTNIK;Išèejo osebo za pomoè pri prevajanju vsebin v nemški jezik. Pogoj je odlièno znanje nemškega jezika in smisel za pisanje besedil.; 1 ; PO DOGOVORU; Po dogovoru; 280284
PREVAJANJE;5,00 €/h neto;HRASTNIK;Išèejo osebo za pomoè pri prevajanju vsebin v hrvaški jezik. Pogoj je odlièno znanje hrvaškega jezika in smisel za pisanje besedil.; 1 ; PO DOGOVORU; Po dogovoru; 280283
ADMINISTRATIVNA DELA;4,65 €/h neto;BRNIK - LETALIŠÈE;Podjetje išèe študenta/ko za razlièna administrativna in podobna dela. Delovne naloge: izpolnjevanje zapisnikov za izgubljeno ali poškodovano prtljago in vodenje evidence izgubljenih predmetov, usklajevanje dostave izgubljene prtljage z dostavno službo, delo za raèunalnikom v sistemu world tracer. Dela se v uniformi podjetja. Pogoji: dobro znanje angleškega jezika, zanesljivost pri delu, komunikativnost, urejenost, prijaznost, možnost fleksibilnega delovnega èasa.; 1 ; DLJE ÈASA; Izmensko; 280270
DELO NA TERENU<strong>VOZNIK</strong>;4,00 €/h neto;MARIBOR;Premikanje vozil po Sloveniji in tujini. Pogoji: vozniški izpit B-kategorije najmanj 3 leta, starost nad 21 let, pasivno znanje angleškega jezika in psihofizièna zmožnost vožnje na daljše razdalje.; 4 ; DLJE ÈASA, PO POTREBI; Po dogovoru; 280281
SNEMANJE<strong>TEHNIK</strong>;PO PROJEKTU;MARIBOR Z OKOLICO;Video tehnik za prireditve po Sloveniji.; 3 ; PO DOGOVORU; Med vikendom; 280280
ELEKTROTEHNIÈNA DELA<strong>TEHNIK</strong>;PO PROJEKTU;MARIBOR Z OKOLICO;Luèkarski tehnik za prireditve po Sloveniji.; 3 ; PO DOGOVORU; Med vikendom; 280279
MONTAŽA<strong>DELO NA TERENU</strong>;PO PROJEKTU;MARIBOR Z OKOLICO;Monter tehniène opreme za prireditve po Sloveniji.; 3 ; PO DOGOVORU; Med vikendom; 280278
TEHNIÈNA POMOÈ<strong>DELO NA TERENU</strong>;PO DOGOVORU, PO PROJEKTU;MARIBOR Z OKOLICO;Podjetje potrebuje veè oseb za pomoè pri ozvoèenju. Prednost imajo osebe z izkušnjami. Potrebujejo tudi luèkarskega tehnika in video tehnika.; 3 ; DLJE ÈASA; Med vikendom; 280277
PROGRAMIRANJE;7,50 €/h neto;MARIBOR;Podjetje išèe osebo za programiranje. Pogoji: dobro znanje PHP, HTML, CSS in JS (jQuery) ter aktivno znanje angleškega jezika. Zaželeno tudi znanje nemškega jezika. Dodatna prednost je poznavanje Magenta ali Zend Frameworka.; 1 ; DLJE ÈASA; Po dogovoru; 280276
STREŽBA HRANE IN PIJAÈE<strong>GOSTINSKA DELA</strong>;4,80 €/h neto;ZGORNJA LOŽNICA;Strežba hrane in pijaèe. Zaželene so izkušnje. Bruto urna postavka znaša od 5,68 do 6,86 €. Pogoj je starost nad 18 let.; 2 ; DLJE ÈASA; Po dogovoru; 280275
ÈIŠÈENJE;4,00 €/h neto;CELJE;Podjetje potrebuje veè oseb za èišèenje. Pogoj je starost nad 18 let.; 3 ; DLJE ÈASA; Po dogovoru; 280274
LAŽJA FIZIÈNA DELA;4,65 €/h neto;BRNIK - LETALIŠÈE;Podjetje potrebuje študenta/ko za preverjanje ustreznosti roène prtljage pri potnikih ter za pomoè potnikom. Delo se bo opravljalo v uniformi podjetje. Pogoji: komunikativnost, prijaznost in urejenost, tekoèe znanje angleškega jezika ter zmožnost fleksibilnega delovnega èasa.; 3 ; DLJE ÈASA; Izmensko; 280269
