delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra
INFORMATOR;5,50 €/h neto;LJUBLJANA;Informiranje in usmerjanje strank. Pogoj je starost nad 18 let.; 1 ; PO DOGOVORU; Dopoldan; 280617
VLAGANJE;4,00 €/h neto;LJUBLJANA;Roèna dela, vlaganje reklam. Delo poteka dopoldne do 15. ure ali popoldne od 15. do 23. ure. Možna je prijava na prvo ali drugo izmeno.; 5 ; PETEK 2.11.2018; Izmensko; 280616
PROGRAMIRANJE;8,45 €/h neto;LJUBLJANA;Razvoj programskih modulov za igralne aparate glede na navodila vodje skupine, izvajanje in evidentiranje popravkov obstojeèih modulov programske opreme, testiranje posameznih razvojnih komponent, sodelovanje pri izvedbi komunikacijskih protokolov za nove igralne aparate. Zaželene delovne izkušenj na podroèju razvoja, znanje NET C# in poznavanje principov objektnega programiranja, znanje programskega jezika ActionScript 3.0.; 2 ; DLJE ÈASA, MOŽNOST KASNEJŠE REDNE ZAPOSLITVE; Dopoldan; 280615
POMOÈ PRI PRODAJI;4,00 €/h neto;LJUBLJANA;Podjetje išèe študenta/ko za pomoè pri prodaji v trgovini z oblaèili. Zaželene so izkušnje s prodajo. Pogoj je razpoložljivost za delo med tednom in med vikendi. Med vikendom je plaèilo 5,5 €/h bruto.; 2 ; DLJE ÈASA; Izmensko; 280614
DELO V LABORATORIJU;4,65 €/h neto;GROSUPLJE;Farmacevtsko podjetje išèe osebo za pomoè v laboratoriju in pisarni v oddelku kontrole kakovosti. Pogoji: komuniciranje v angleškem jeziku, obvezna farmacevtska smer izobrazbe. Vsi kandidati naj pošljejo svoj CV z delovnimi izkušnjami na e-mail v angleškem jeziku.; 1 ; DLJE ÈASA; Dopoldan; 280613
PROGRAMIRANJE;8,45 €/h neto;SEŽANA;Razvoj programskih modulov za igralne aparate glede na navodila vodje skupine, izvajanje in evidentiranje popravkov obstojeèih modulov programske opreme, testiranje posameznih razvojnih komponent, sodelovanje pri izvedbi komunikacijskih protokolov za nove igralne aparate. Zaželene delovne izkušenj na podroèju razvoja, znanje NET C# in poznavanje principov objektnega programiranja, znanje programskega jezika ActionScript 3.0.; 2 ; DLJE ÈASA, MOŽNOST KASNEJŠE REDNE ZAPOSLITVE; Dopoldan; 280612
POMOÈ V STREŽBI;4,22 €/h neto;TRZIN;Pogoji so resnost, odgovornost, komunikativnost. Izkušnje so zaželene.; 1 ; DLJE ÈASA; Dopoldan; 280611
BLAGAJNIK;4,30 €/h neto;MARIBOR CENTER;Izkušnje z delom na  blagajni predstavljajo prednost.; 1 ; DALJ ÈASA; Izmensko; 280610
LAŽJA FIZIÈNA DELA;5,00 €/h neto;ŠENTILJ;Podjetje išèe osebo za lažja fizièna dela - pomoè pri pripravi športnega igrišèa. Delo poteka dopoldan, do 17.00 ure.; 2 ; DLJE ÈASA; Dopoldan; 280609
PROGRAMIRANJE;5,81 €/h neto;LJUBLJANA;Išèejo kandidata/ko s poznavanjem: poslovnih procesov pravnih subjektov (delovni tokovi), programskega jezika JavaScript (prednost imajo kandidati, ki poznajo èim veè programskih jezikov: C++, Java, Delphi,..), SQL in delovanja baz podatkov. Znanje angleškega, hrvaškega in/ali srbskega jezika. Dobra ustna in pisna komunikacija, veselje do dela s strankami, povezovalnost in delo na razliènih razvojnih projektih ter ustvarjalnost.; 1 ; PO DOGOVORU; Dopoldan; 280608
POMOÈ PRI PRODAJI;4,22 €/h neto;LJUBLJANA BTC;Podjetje išèe veè oseb za delo v trgovini z modnimi oblaèili Pull & Bear (pomoè pri prodaji, svetovanje, ipd.). K sodelovanju vabijo kandidate, ki jih zanima moda in delo z ljudmi, so urejeni, resni in komunikativni. Z delom se priène takoj. Prijavo in CV s pripisano telefonsko številko pošlji na e-mail (pripis Pull & Bear BTC).; 5 ; DLJE ÈASA; Izmensko; 280607
STROKOVNO DELO;4,65 €/h neto;LOGATEC;Delo v gradbeništvu: urejanje razpredelnic, branje in risanje naèrtov, vodenje delavcev, urejanje dokumentacije ter kontrolo proizvodnje. Pogoji: gradbena smer izobraževanja (gradbeni tehnik, inž. gradbeništva .... ), resnost ter starost nad 17 let. Poklièi ali se prijavi na e-naslov.; 1 ; PO DOGOVORU; Dopoldan; 280606
HELPDESK;4,48 €/h neto;LJUBLJANA;Pogoji za delo: poznavanje strežniškega in desktop Windows okolja, delovanja podatkovnih baz, razliènih ERP, Linux okolja. Višja izobrazba tehniène smeri, znanje angleškega, hrvaškaga in/ali srbskega jezika. Izpit B kategorije in lasten prevoz. Dobra ustna in pisna komunikacija ter veselje do dela s strankami.; 1 ; PO DOGOVORU; Dopoldan; 280605
KIDANJE SNEGA;4,20 DO 5,92 €/H BRUTO + MALICA;KRVAVEC;Delo obsega kidanje snega, èišèenje terase brunarice na smuèišèu, lažja vzdrževalna dela, prevoz, nalaganje in razkladanje blaga. Delo poteka na smuèišèu. Za prevoz s kabinsko žiènico poskrbljeno.; 2 ; PO DOGOVORU; Po dogovoru; 280604
POMOÈ V KUHINJI;4,20 DO 5,92 €/H BRUTO + MALICA;KRVAVEC;Pomoè v kuhinji pri predpripravi in pripravi jedi, skrb za urejenost in èistoèo kuhinje. Izkušnje niso pogoj, so pa zaželene. Delo poteka v brunarici na smuèišèu. Poskrbljeno je za prevoz s kabinsko žiènico.; 2 ; PO DOGOVORU; Po dogovoru; 280603
PRODAJA;4,00 €/h neto;CELJE;Podjetje potrebuje dve polnoletni osebi za prodajo darilnega pograma na božiènem sejmu. Delovni èas je po dogovoru, dopoldan ali popoldan. Pogoji: prijaznost, komunikativnost, resnost. za veè info poklièite med 10.00 in 15.00 na telefon, prijavo pošljite s kratkim opisom na e-mail podjetja.; 2 ; DECEMBER 2018; Po dogovoru; 280602
DELO V PROIZVODNJI;4,50 €/h neto;LJUBLJANA;Pobiranje èasopisov s tekoèega traku in dodatna priložnostna dela. Prièetek ob 6. uri.; 2 ; NOVEMBER, MOŽNOST PODALJŠANJA; Dopoldan; 280601
STREŽBA;5,50 €/h neto;LJUBLJANA;Pogoj je starost nad 18 let. Potrebujejo veè oseb za delo v strežbi in pomoè v kuhinji (priprava sendvièev, vafljev ...). Zaželene so izkušnje pri tovrstnem delu in znanje angleškega jezika.; 1 ; DLJE ÈASA; Po dogovoru; 280600
STREŽBA HRANE IN PIJAÈE;5,50 €/h neto;BOHINJSKO JEZERO;Podjetje išèe osebo za strežbo v okrepèevalnici. Dela se obèasno (4 do 6 krat meseèno). Pogoj je starost nad 18 let.; 1 ; PO DOGOVORU,VIKENDI; Med vikendom; 280599
MIZARSKA DELA;4,00 €/h neto;SPODNJA POLSKAVA;Pomoè v lesarski delavnici. Pogoji: lasten prevoz, roène spretnosti. Predhodne izkušnje niso potrebne. Z delom lahko priènete takoj. Možnost zvišanja urne postavke. Za prijavo poklièite ali pošljite e-mail.; 1 ; DLJE ÈASA; Dopoldan; 280597
STREŽBA;5,00 €/h neto;KAMNIK - PEROVO;Prijeten lokal na kamniški obvoznici išèe polnoletni osebi za delo v strežbi. Delo poteka med tednom, izmensko, urnik je fleksibilen, vse se da dogovoriti. Zaèetna urna postavka 5,92 € bruto se ob dobrem delu lahko dvigne tudi na 8,28 € bruto.; 2 ; DLJE ÈASA; Izmensko; 280596
DELO V DELAVNICI;5,07 €/h neto;CELJE;Podjetje potrebuje osebo za pomoè v avtomehanièni delavnici, menjava pnevmatik.; 1 ; DO KONCA NOVEMBRA 2018; Dopoldan; 280595
DELO NA BENCINSKEM SERVISU<strong>DELO V AVTOPRALNICI</strong>;PO DOGOVORU;KOPER;Podjetje išèe veè polnoletnih oseb za razna dela na bencinskem servisu - delo v trgovini,  delo v avtopralnici.; 4 ; DLJE ÈASA; Izmensko; 280594
STREŽBA;PO DOGOVORU;KOPER;Podjetje išèe polnoletne osebe za strežbo na bencinskem servisu. Izkušnje so pogoj.; 3 ; DLJE ÈASA; Izmensko; 280593
DELO V PROIZVODNJI;4,65 €/h neto;LJUBLJANA;Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za delo in pomoè v proizvodnji. Gre za lažja fizièna dela, zlaganje manjših predmetov. Interesenti naj poklièejo ali pošljejo vlogo na podjetje.; 1 ; DLJE ÈASA; Popoldan; 280592
PAKIRANJE;4,00 €/h neto;VIR PRI DOMŽALAH;Roèno in strojno pakiranje tamponov. Delo poteka v dopoldanski izmeni. Malica je zagotovljena.; 5 ; NOVEMBER; Dopoldan; 280591
DELO V LOGISTIKI;6,00 €/h neto;LJUBLJANA;Išèejo študenta/ko višjih letnikov ekonomske ali druge podobne smeri za pomoè v oddelku logistike v mednarodnem podjetju. Obvezno tekoèe znanje angleškega jezika in dobro poznavanje Excela. Predhodne izkušnje v logistiki, pri sprejemanju in obdelavi naroèil ter izkušnje s SAP sistemom so prednost.; 1 ; PO DOGOVORU; Dopoldan; 280590
STREŽBA;5,00 €/h neto;PODPEÈ;Za strežbo v prijetnem dnevnem caffe baru išèejo simpatièno in komunikativno osebo. Potrebne so izkušnje z delom v strežbi. Delovnik po dogovoru. Delo poteka tudi med vikendi, pogoj je starost nad 18 let.; 1 ; DLJE ÈASA; Po dogovoru; 280589
DELJENJE LETAKOV;4,00 €/h neto;LJUBLJANA - BRDO;Deljenje letakov. Pomoè potrebujejo med 8. in 21. uro.; 3 ; CCA. 14 DNI; Po dogovoru; 280588
ADMINISTRATIVNA DELA<strong>DELO NA RAÈUNALNIKU</strong>;4,70 €/h neto;GROSUPLJE;Si hiter pri delu z raèunalnikom? Prijavi se za vnos artiklov v spletno trgovino.; 1 ; PO DOGOVORU; Dopoldan; 280587
TELEFONIST;4,65 €/h neto;MARIBOR;Podjetje potrebuje 3 osebe za delo telefonista (ne gre za prodajo). Prièetek dela je ob 8. uri. Pogoji: starost nad 18 let, komunikativnost in odgovornost. Z delom lahko nastopite takoj. Za prijavo poklièite ali pošljite e-mail.; 3 ; DLJE ÈASA; Dopoldan; 280586
DEKLARIRANJE;4,31 €/h neto;LJUBLJANA BTC;Pomoè pri deklariranju, zaèetek takoj, za najmanj dva dni. Poklièi.; 1 ; DVA DNI; Dopoldan; 280585
DELO NA BENCINSKEM SERVISU;4,22 €/h neto;ŠENÈUR;Podjetje išèe samoiniciativno osebo, z veseljem do dela s srankami za delo na bencinskem servisu. Dela se tudi med prazniki. Pogoj je starost nad 18 let.; 2 ; DLJE ÈASA; Med vikendom; 280584
POMOÈ V STREŽBI;4,50 €/h neto;MARIBOR CENTER;Podjetje potrebuje osebo za pomoè v strežbi, pospravljanje miz in pranje kozarcev.; 1 ; DLJE ÈASA; Izmensko; 280583
PRODAJA<strong>ZLAGANJE POLIC</strong>;4,65 €/h neto;KRANJ;Pogoj je starost nad 18 let. Prodaja in zlaganje izdelkov na police na oddelku barve in laki.; 1 ; ZA VSAJ POL LETA; Izmensko; 280581
TELEFONSKI MARKETING;4,22 €/h neto;KOPER;Potrebujejo osebo za opravljanje administrativnih del in telefonskega trženja. Prièakujejo poznavanje MS orodij in delo v timu. Pogoj je starost nad 18 let.; 2 ; DLJE ÈASA; Dopoldan; 280580
ANIMATOR;8,00 €/h neto;LJUBLJANA;Podjetje išèe animatorje in igralce za nastopanje v gledaliških predstavah ter za nastopanje kot dobri možje. Delo bo potekalo v decembru. Pogoji: veselje do nastopanja in dela z otroki ter èasovna prilagodljivost za vaje in izvedbo predstav. Delo poteka po dogovoru med tednom ter med vikendi. Možnost nadaljnega sodelovanja. Svojo predstavitev pošljite na mail.; 3 ; DLJE ÈASA; Po dogovoru; 280579
DEŽURSTVO;4,00 €/h neto;VIŠNJA GORA;Noèno in vikend dežurstvo v terapevtskem centru za odvisnike. Med tednom se priène ob 21.30, med vikendi ob 20. uri. Pogoj je starost nad 20 let, razèišèen odnos do drog, alkohola, osebna zrelost, odgovornost, zanesljivost, obèutek za delo z ranljivo populacijo, empatija, prilagodljivost.; 3 ; DLJE ÈASA; Po dogovoru; 280578
PROMOCIJA;4,00 €/h neto;MARIBOR;Išèejo komunikativne, hitro uèljive in èasovno razpoložljive študente/-ke za delo promocij v banènih poslovalnicah. Želene so izkušnje pri delu s strankami ter èasovna razpoložljivost. Prijavo in CV oddajte na e-mail. V prijavi nujno navedite želen kraj dela.; 1 ; PO DOGOVORU; Po dogovoru; 280577
FIZIÈNA DELA;5,07 €/h neto;SLOVENSKE KONJICE;Podjetje potrebuje polnoletne, fizièno moène in vestne osebe za postavljanje (9.11.) in podiranje (12.11.) prireditvenega šotora. Dela se od 8. do cca 16. ure, oz po dogovoru. Podjetje plaèa tudi malico. Interesenti naj poklièejo na telefonski kontakt med 8. in 16. uro.; 8 ; PETEK, 9.11. IN PONEDELJEK, 12.11.2018; Po dogovoru; 280576
FIZIÈNA DELA;5,07 €/h neto;HAJDINA;Podjetje potrebuje polnoletne, fizièno moène in vestne osebe za postavljanje (7.11.) in podiranje (12.11.) prireditvenega šotora. Dela se od 8. do cca 16. ure, oz po dogovoru. Podjetje plaèa tudi malico. Interesenti naj poklièejo na telefonski kontakt med 8. in 16. uro.; 8 ; SREDA, 7.11. IN PONEDELJEK, 12.11.2018; Po dogovoru; 280575
VNOS PODATKOV V RAÈUNALNIK<strong>VNOS PODATKOV</strong>;5,00 €/h neto;CELJE;Podjetje potrebuje veè študentov/-tk za vnos metapodatkov. Delovni èas je od 7. do 15. ure (brez vikendov). Potrebno je znanje hitrega tipkanja in predvsem natanènost.; 3 ; DO 15.11.2018; Dopoldan; 280574
STREŽBA HRANE IN PIJAÈE;4,00 €/h neto;LJUBLJANA;V manjši kavarnici išèejo polnoletno, zanesljivo, prijetno in odgovorno osebo, ki jo veseli delo z ljudmi. Nudijo delo v prijetnem ambientu in energiènem kolektivu. Delo poteka v popoldanskem èasu, delovnik po dogovoru s podjetjem. Urna postavka se poveèa glede na uspešnost. Veseli bodo vaše prijave.; 1 ; DLJE ÈASA; Popoldan; 280573
BLAGAJNIK;4,22 €/h neto;DOMŽALE;Trgovsko podjetje išèe polnoletne osebe za delo na blagajni. Pogoji: resnost, poštenost in natanènost. Prednost bodo imeli kandidati z izkušnjami pri delu na blagajni. Delovnik je fleksibilen, delovni so tudi vikendi. Med tednom je urna postavka 5 €  bruto, ob nedeljah 6 € bruto.; 1 ; DLJE ÈASA; Izmensko; 280572
ADMINISTRATIVNA DELA;4,00 €/h neto;LJUBLJANA;Administrativna dela v notarski pisarni. Pogoji: absolvent/ka magistrskega študija pravne fakultete, ki ima èas ter veselje za delo v notariatu. Dosedanje  izkušnje pri delu zelo zaželene, sposobnost za hitro in natanèno delo ter roèna spretnost. Možnost kasnejšega dviga urne postavke. Prijave sprejemajo izkljuèno na navedeni elektronski naslov.; 1 ; DLJE ÈASA; Dopoldan; 280571
DELO NA RECEPCIJI;4,65 €/h neto;LJUBLJANA;Dobrodošli vsi, ki imate željo po novih znanjih in obenem cenite dobre delovne pogoje, fleksibilen delovnik, redno plaèilo, jasna navodila za delo, prijetne goste in odlièno timsko vzdušje v mladem in zagnanem kolektivu. Pogoji: starost nad 19 let, izkušnje pri delu z ljudmi in aktivno znanje vsaj enega tujega jezika. Prijave in CV sprejemajo na e-mail.; 2 ; DLJE ÈASA; Po dogovoru; 280570
DEKLARIRANJE;5,00 €/h neto;LJUBLJANA;Sodobno skladišèe k sodelovanju vabi študente/tke, ki so vajeni opravljati lažja fizièna dela, imajo roène spretnosti, so hitri, resni in odgovorni. Prednost imajo študentje/tke, ki imajo opravljen sistematski pregled.; 10 ; DLJE ÈASA; Po dogovoru; 280569
PRODAJA;4,00 €/h neto;JESENICE;Prodaja in delo na blagajni v drogeriji. Pogoj je starost nad 18 let. Prijave pošljite na e-mail.; 1 ; DLJE ÈASA; Izmensko; 280568
DEGUSTACIJE;4,65 €/h neto;MARIBOR Z OKOLICO;Išèejo zanesljive, komunikativnein polnoletne kandidate za izvajanje promocij, degustacij po trgovinah. Lasten prevoz je obvezen. Izkušnje na tem podroèju so zaželene.; 5 ; DLJE ÈASA; Med vikendom; 280567
DELO NA RAÈUNALNIKU<strong>TESTIRANJE PROGRAMSKE OPREME</strong>;PO DOGOVORU;MARIBOR;Išèejo osebe, ki imajo žilico za podrobnosti - tiste, ki opazijo najmanjša odstopanja in napake ter potem tudi razišèejo kako so nastale. Èe si takšna oseba, potem je delo QA testerja zate. Testiral boš mobilne in spletne aplikacije. Pogoji so odlièno poznavanje raèunalništva, mobilnih telefonov, znanje angleškega jezika ter poznavanje mrežnih protokolov.; 1 ; VSAJ TRI MESECE; Dopoldan; 280566
OBLIKOVANJE<strong>PROGRAMIRANJE</strong>;PO DOGOVORU;MARIBOR;Samostojno in skupinsko delo v ekipi designerjev z ciljem izdelati najboljše možne UI / UX rešitve za mobilne aplikacije in storitve. Pogoji: izkušnje iz podroèja vizualnih komunikacij, izkušnje z orodji Photoshop, Illustrator ali Sketch, sposobnost opravljanja dela pod dinamiènimi roki in izjemen obèutek za design in tipografijo. CV+portfolio sprejemajo na e-mail.; 1 ; DLJE ÈASA; Po dogovoru; 280565
PROGRAMIRANJE;PO DOGOVORU;MARIBOR;Zgrabi priložnost za delo na projektih najveèjih blagovnih znamk in pomagaj oblikovati produkte, vizijo ter aplikacije v katerih bodo uživali milijoni uporabnikov.Odprta delovna mesta so na podroèju razvoja mobilnih aplikacij (iOS in Android), zalednih (backend) storitev ter spletnih aplikacij.Kot del prijave poleg CV-ja obvezno pošlji svoja stvarjenja na katera si ponosen - projekti, koda, git handle, slike, opisi... Èe bodo videli kaj, kar jim bo všeè, se slišite za razgovor.; 4 ; DLJE ÈASA; Dopoldan; 280564
POMOÈ V STREŽBI;4,00 €/h neto;CELJE;Podjetje potrebuje polnoletno osebo za pomoè v strežbi. Urna postavka se po uvajalnem èasu zviša.. Pogoj je lasten prevoz (ni javnega prevoza na kraj dela).; 1 ; DLJE ÈASA; Med vikendom; 280563
