delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra

ADMINISTRATIVNA DELA;4.22;MENGEŠ;Znano farmacevtsko podjetje potrebuje polnoletno osebo za administrativno in tehnično pomoč (nadzor nad različnimi operativnimi nalogami, pomoč pri reševanju težav na tehnološki opremi, pomoč pri kvalifikacijskih aktivnostih, priprava različnih excel preglednic ipd.) Prednost študenti/tke strojništva, elektrotehnike, mehatroke ali druge tehnične smeri. Prijavo s CV pošljite na e-naslov.;1; DLJE ČASA; Dopoldan;279510

FIZIČNA DELA;5.07;SEVNICA;Podjetje potrebuje dve osebi za pomoč -  fizična dela pri vzdrževalnih delih na objektu podjetja. Pogoj je starost nad 18 let. Plačilo je od 6 do 7 € bruto/h.;2; ČAS REMONTA; Po dogovoru;279507

POMOČ V STREŽBI;4.22;LJUBLJANA;Podjetje nudi delo dvema kandidatoma v ugledni kavarni in slaščičarni. Pogoji: izkušnje v strežbi, veselje do dela z gosti in nasmeh. Kandidat/ka bo deležen/na tudi učenja strežbe, pravega načina kuhanja kave, priprave cocktailov, ostalih napitkov in spoznavanja super sladic. Urna postavka od 5 € do 8 € bruto. Pokličite ali pošljite prijavo na e-mail.;3; DLJE ČASA; Po dogovoru;279506

POMOČ PRI PRODAJI;4.50;LJUBLJANA;Priprava in prodaja hitre hrane. Zaželeno: znanje slovenskega, angleškega in katerega drugega tujega jezika. Delo je troizmensko oz. po dogovoru. Nočna urna postavka je 6,51 € bruto (5,5 € neto). Prijave sprejemajo na elektronski naslov ali preko telefona.;5; DLJE ČASA; Izmensko;279501

STREŽBA;4.50;MARIBOR;Iščejo zanesljivo osebo za delo v prijetni kavarni v trgovskem centru. Delo poteka izmensko, glede na predhodni dogovor (3x na teden). Izkušnje so zaželene. Kasneje možnost redne zaposlitve.;1; DLJE ČASA; Izmensko;279500

DELO NA TERENU;4.00;CELJE;Iščejo voznika kombija za dostavo v okolici Celja. Pogoji: starost nad 18 let, vozniški izpit B kategorije in fizična moč.;1; DLJE ČASA; Dopoldan;279497

BLAGAJNIK;4.30;LJUBLJANA;Potrebujejo polnoletno osebo za delo na blagajni. Ob nedeljah in praznikih je bruto urna postavka 8 €.;2; DLJE ČASA; Izmensko;279496

STREŽBA;6.00;LJUBLJANA;Prijeten lokal iz Viča potrebuje polnoletni osebi za strežbo v šanku. Zaželene izkušnje.;2; DLJE ČASA; Izmensko;279495

STREŽBA;4.70;ŠKOFJA LOKA;Podjetje išče osebo za delo v lokalu, ki ima obratovalni čas od 7.00 do 20.00, ob sobotah do 15.00 in nedelje do 12.00. Delovnik je izmenski, delovni čas po dogovoru s podjetjem.;1; DLJE ČASA OZIROMA PO DOGOVORU; Izmensko;279494

DELO V PROIZVODNJI;5.00;DOL PRI LJUBLJANI;Pomoč v proizvodnji kruha, keksov in testenin. Pogoj je starost nad 18 let. Prednost imajo dijaki/ študentje živilske stroke.;1; DLJE ČASA; Dopoldan;279491

PRODAJA;4.00;TEREN;Delo se izvaja na terenu po Sloveniji. Potrebno je imeti svoje prevozno sredstvo ter izpit B kategorije. Plačilo je po realizaciji ter urni postavki, kar je za izvrstne prodajalce veliki plus. Če si zgovoren/a in je to delo primerno zate ter izpolnjuješ zgornje pogoje, nas kontaktiraj.;10; PO DOGOVORU; Po dogovoru;279488

DELO V PROIZVODNJI;5.50;BAKOVNIK;Podjetje išče polnoletne osebe za delo v proizvodnji sveč. Delo je 2 izmensko.  Prijave (obvezno navedite svojo GSM številko) pošljite na e-naslov.;2; DLJE ČASA; Izmensko;279487

RAČUNOVODSKA DELA;4.00;KRANJ;Fakulteta išče študenta/študentko za pomoč na oddelku računovodstva. Pogoji: samostojnost, natančnost, znanje Excela. Zaželen študij v tej smeri. Delo poteka nekaj dni v tednu. CV sprejemajo na elektronski naslov.;1; DLJE ČASA; Dopoldan;279486

BLAGAJNIK;4.73;KOPER;Delo na blagajni.. Pogoj je starost nad 18 let.;1; DLJE ČASA; Izmensko;279483

DEGUSTACIJE;5.07;CELJE;V svojo ekipo vabijo zanesljive in komunikativne polnoletne osebe za izvajanje degustacij v večjih trgovskih centrih v Celju ob petkih in sobotah. Urnik dela je določen za mesec vnaprej. Pogoji: izkušnje z degustacijami, vozniški izpit in lasten prevoz. Povrnjen prevoz do 40 km v všini  0,11€/km. Pisne prijave z življenjepisom pošljite na naslov podjetja.;1; DLJE ČASA; med vikendom;279478

POMOČ V STREŽBI;5.40;PODČETRTEK;Iščejo osebo za pomoč v strežbi. Delo bo potekalo po dogovoru. Urna postavka je odvisna od izkušenj.;1; DLJE ČASA; Po dogovoru;279475

DELO V KUHINJI;5.00;LJUBLJANA;Pomoč v kuhinji.;1; DLJE ČASA; Izmensko;279469

ČIŠČENJE;4.00;PREVOJE PRI LUKOVICI;Čiščenje prostorov vrtca.;2; PO DOGOVORU; Popoldan;279464

DELO V SKLADIŠČU;4.50;MENGEŠ;Delo v logistiki ali transportu. Omogočeno opravljanje izpita za viličarja. Ponujajo mentorstvo pri učenju skladiščnega poslovanja. Urno postavko zvišajo tistemu, ki pokaže zavzetost. Možnost kasnejše redne zaposlitve.;1; DLJE ČASA; Po dogovoru;279463

LAŽJA FIZIČNA DELA;4.23;LJUBLJANA;Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za delo in pomoč v proizvodnji. Zaželena je fizična moč. Interesenti naj pokličejo ali pošljejo prijavo na kontakt podjetja.;1; DLJE ČASA; Dopoldan;279462

STREŽBA;5.07;CELJE;Iščejo polnoletno osebo za pomoč v strežbi.;1; DLJE ČASA; Izmensko;279461

DELO V SKLADIŠČU;4.22;VODICE PRI LJUBLJANI;Prevzem in priprava blaga v skladišču. Oseba mora biti zbrana, natančna in odgovorna. Delo ni težko, primerno je za fante in dekleta. Zaželene so izkušnje z delom v skladišču ali trgovini. Pokliči ali pošlji prijavo na e-naslov.;1; 3 MESECE; Dopoldan;279455

STREŽBA HRANE IN PIJAČE;5.50;LJUBLJANA;Pomoč pri zajtrkih, kosilih in večerjah, v baru ter na dogodkih. Urna postavka je odvisna od izkušenj, ki so zaželene, niso pa pogoj. Možnost redne zaposlitve.;2; PO DOGOVORU, DLJE ČASA; Po dogovoru;279449

POMOČ V KUHINJI;5.00;LJUBLJANA;Pomivanje posode in priprava hrane (lupljenje, sekljanje, skrb za čistočo ...) pri zajtrkih, kosilih in večerjah. Urna postavka je odvisna od izkušenj, ki so zaželene, niso pa pogoj. Možnost kasnejše zaposlitve.;2; PO DOGOVORU, DLJE ČASA; Izmensko;279448

STREŽBA;5.24;LJUBLJANA;Iščejo osebi za delo v strežbi, ki poteka dvakrat do trikrat tedensko v prijetnem kolektivu, v dnevnem lokalu. Pogoja sta polnoletnost in odgovornost, zaželene predhodne izkušnje s strežbo. Lokal je med tednom odprt do 21. ure, medtem, ko so sobote in nedelje proste.  Prijavo s CV-jem pošljite na e-mail.;2; DLJE ČASA; Izmensko;279444

STREŽBA HRANE IN PIJAČE;5.50;KRVAVI POTOK;Strežbo hrane in pijače v pivnici. Pogoj: starost nad 18 let. Zaželeno: lasten prevoz in izkušnje. Delo poteka med vikendi, po želji kandidata/ke tudi med tednom.;2; DLJE ČASA; med vikendom;279442

PRODAJA;5.00;NOVA GORICA;Potrebujejo polnoletno osebo za delo v papirnici. Zaželeno je znanje italijanskega jezika, poznavanje dela z blagajno in denarjem, veselje do prodaje in dela z ljudmi. Prijavo s telefonsko številko pošlji na e-mail. Delo v nedeljo 7,69 €/h bruto.;1; DLJE ČASA; Po dogovoru;279440

STREŽBA;5.00;ROGOZA;Sprejem strank in pomoč pri strežbi pijače. Pogoj je sposobnost samostojnega in timskega dela. Zaželene so izkušnje. Stimulacija.;2; PO DOGOVORU; Po dogovoru;279438

PROMOCIJA;6.76;LJUBLJANA;Iščejo komunikativne in iznajdljive sodelavce, katere veseli delo v sproščeni skupini vrstnikov na terenu. Delo je razgibano, urnik pa prilagodljiv. Delali boste za eno najbolj priznanih nevladnih organizacij, kar vam lahko služi tudi kot odlično priporočilo. Pogoj je starost vsaj 18 let. Možnost tudi kasnejše redne zaposlitve.;5; DLJE ČASA; Popoldan;279435

STREŽBA;5.00;PODNART;Pogoj je starost nad 18 let. Zaželene so izkušnje. Prijava na email naslov.;1; DLJE ČASA; Popoldan;279433

PRODAJA;4.50;LJUBLJANA;V mlad in pozitiven tim vabijo študenta/ko z izkušnjami s prodajo oblačil za odrasle. Pogoji: resnost, odgovornost, ustrežljivost, smisel za modo, veselje do dela, urejenost ... Nudijo stimulacijo za dobro opravljeno delo ter možnost redne zaposlitve po določenem času. Prijave sprejemajo na elektronski naslov.;2; DLJE ČASA, REDNO DELO; Izmensko;279430

STREŽBA;5.00;MARIBOR;Strežba pijače 3-krat na teden. Izkušnje niso potrebne.;1; PO DOGOVORU; Dopoldan;279427

PROGRAMIRANJE;6.76;LJUBLJANA;Če si študent/ka višjih letnikov in te privlačijo stvari kot so cloud, Azure, IoT, estetska koda, brezhibna uporabnost in 110% varnost, potem imajo veliko sadja in kave zate! Zaželeno predznanje: Večji geek, bolje. Prav pa pridejo še C#, Angular in timski duh. Prijave s pripisom: Študentsko delo v razvoju, pošljite na e-naslov.;1; DLJE ČASA; Dopoldan;279423

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Pomoč pri prodaji oblačil, obutve in modnih dodatkov. Pogoji: prijaznost, energičnost, urejenost. Zaželene so izkušnje.;1; DALJ ČASA; Izmensko;279422

PAKIRANJE;4.30;MARIBOR;Pakiranje keksov. Zaželene so ročne spretnosti.;8; MESEC DNI, NAPREJ PO DOGOVORU; Po dogovoru;279418

STREŽBA HRANE IN PIJAČE;4.00;HROVAČA;Pogoj je starost nad 18 let. Izkušnje v strežbi zaželene, delo po dogovoru.;1; PO DOGOVORU; Po dogovoru;279417

DELO S STRANKAMI;4.50;LJUBLJANA;STREŽBA-PRODAJA. Iščejo polnoletne osebe za peko in strežbo palačink v centru Ljubljane. Urna postavka je od 5,33 € bruto dalje. Dela se tudi ob vikendih in praznikih.;3; DLJE ČASA; Izmensko;279413

STREŽBA;5.00;BEŽIGRAD;Pogoji: starost nad 18 let, izkušnje in prilagodljivost. Bar se nahaja v neposredni bližini fakultet.;3; DLJE ČASA; Izmensko;279407

MENTOR;6.00;KOPER;Delo z mladostniki v programu PUM zajema pomoč mentorju v projektu PUM-o, in sicer: učno pomoč na nivoju srednje šole in delo na različnih projektih za animiranje skupine. Zaželen je študent podiplomskega študija z izkušnjami oz. veseljem in občutkom do dela z najstniki z učnimi težavami ter z dobrim znanjem matematike.;1; PO DOGOVORU; Dopoldan;279404

MASER;4.22;LJUBLJANA;Energijski maser. Pogoja: zdravstvena smer, polnoletnost in resnost. Poznavanje masaž zaželeno, ni nujno. Vse potrebne pogoje za delo izveste na predstavitvi in opravite tečaj. Prijavite se preko sms-a ali pokličite. Možnost dviga urne postavke.;4; DLJE ČASA; Po dogovoru;279401

POMOČ PRI PRODAJI;4.50;LJUBLJANA;Trgovina z rabljenimi in vintage oblačili išče odgovorno in urejeno osebo, po možnosti z izkušnjami pri prodaji oblačil in dodatkov. Pogoj je starost nad 18 let. Vaše prijave sprejemajo na objavljen email naslov.;1; PO DOGOVORU; Izmensko;279399

DELO NA TERENU;4.00;NOVO MESTO;Delo na terenu in na lokaciji. Bruto urna postavka od 4,73 € do 5,92 €. Priporočeno vozniški izpit.;1; PO DOGOVORU; Dopoldan;279397

STREŽBA;4.20;MARIBOR;Potrebujejo študenta/ki za pomoč v strežbi vv prijetnem lokalu v nakupovalnem centru. Zaželene so izkušnje.;2; DLJE ČASA; Izmensko;279395

POUČEVANJE;7.50;BLED;Iščejo učitelja/ico francoščine, ki bi prevzel/a nekaj ur v izobraževalnem centru. Če poleg francoščine poučuješ še kak drug jezik oz. lahko inštruiraš šolske predmete, se obseg dela poveča. Če si zanesljiva in urejena oseba, če meniš, da lahko strokovno opravljaš delo učitelja v izobraževalnem centru in če si z Bleda ali okolice, jim piši.;1; DLJE ČASA; Popoldan;279391

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Pomoč pri prodaji v trgovini Emporium. Pogoji: starost nad 18 let, izkušnje pri prodaji, komunikativnost, prijaznost, energičnost, urejenost, veliko časovne razpoložljivosti. Prijavo pošlji na e-naslov.;3; DLJE ČASA; Izmensko;279390

DELO Z OTROKI;5.00;KRANJSKA GORA;Iščejo polnoletno osebo za pomoč trenerju ritmične gimnastike. Za prijavo pošlji e-mail.;1; DLJE ČASA; Popoldan;279388

ČIŠČENJE;4.00;CELJE;Iščejo osebo za pomoč pri čiščenju. Delo bo potekalo popoldan.;2; PO DOGOVORU; Popoldan;279387

STREŽBA;4.00;BRESTANICA;V prijetenem, prenovljenem lokalu potrebujejo osebo za strežbo med vikendi oz. po dogovoru. Poskrbljeno bo tudi za povrnitev potnih stroškov.;1; PO DOGOVORU; med vikendom;279386

VADITELJ;8.00;LJUBLJANA;Iščejo vaditelja/ico, ki ima izkušnje z ritmično gimnastiko in hkrati veselje do dela z mlajšimi dekleti.  Zaželena je visoka odgovornost do dela in pripravljenost za delo preko celotnega šolskega leta, ob četrtkih in petkih. Za prijavo na razgovor pošljite vaš CV s podatki in motivom za delo.;2; DO JUNIJA 2019; Popoldan;279385

STREŽBA;4.22;MARIBOR TABOR;Strežba v kavarni. Zaželene so izkušnje.;3; PO DOGOVORU OZ. DLJE ČASA; Po dogovoru;279384

POLNJENJE POLIC;4.01;KOPER;Delo poteka ob sobotah, v jutranjih urah (cca od 6h do 9h).;1; DLJE ČASA, OB SOBOTAH; med vikendom;279383

DELO V KUHINJI;4.00;LJUBLJANA;Pomivanje posode v dnevni restavraciji. Vikendi so prosti.;1; DLJE ČASA; Dopoldan;279378

DELO NA BENCINSKEM SERVISU;4.00;MARIBOR;Podjetje potrebuje polnoletno osebo za delo na bencinskem servisu. Delo se opravlja tudi ob vikendih in praznikih.;1; PO DOGOVORU; Po dogovoru;279377

KOZMETIČNE STORITVE;4.00;LJUBLJANA;Pedikura, manikura, depilacija.;1; DLJE ČASA; Popoldan;279375

STREŽBA;6.30;LJUBLJANA;Potrebujejo izkušene študente/tke za delo v strežbi. Izkušnje, volja do dela in urejen izgled so pogoj. Nudijo stimulativno plačilo. Prijave sprejemajo na elektronski naslov ali preko telefona.;3; DLJE ČASA; Po dogovoru;279373

DELO NA TERENU;5.00;LJUBLJANA;Podjetje potrebuje polnoletna kandidata za delo na terenu (pomoč pri delu na ravnih strehah). Pogoji: ročne spretnosti.;2; DLJE ČASA, PO DOGOVORU; Dopoldan;279370

POMOČ V STREŽBI;5.92;LJUBLJANA;Podjetje potrebuje polnoletne osebe z izkušnjami za delo v strežbi in v šanku. Plačilo je dobro, redno in po dogovoru. Delovni čas je po dogovoru z delodajalcem.;10; DLJE ČASA; Po dogovoru;279366

POMOČ PRI PRODAJI;4.22;ŠKOFJA LOKA;Podjetje išče polnoletne osebe za delo na blagajni, polnjene polic in za delo na oddelku sadja. Zaželene izkušnje. Med tednom je urna postavka 5 € bruto, ob nedeljah 6 € bruto.;1; DLJE ČASA; Izmensko;279363

DELO V PROIZVODNJI;6.00;TRZIN;Delo v proizvodnji elektronike. Bistvo je, da ste ročno spretni. Pogoj je starost nad 18 let.;2; DLJE ČASA; Dopoldan;279362

ADMINISTRATIVNA DELA;4.23;GROSUPLJE; V svojo ekipo vabijo zanesljivega študenta ali študentko za administrativno pomoč v oddelku kvalitete. Delovne naloge bodo zajemale predvsem skeniranje in vnos dokumentov v SAP. Pomoč  bodo potrebovali 2x tedensko (v obsegu 8-12 ur na teden) do konca leta 2018. Vaše prijave prijazno pričakujejo na elektronskem naslovu - z obveznim pripisom Študent/ka - Kvaliteta.;1; DO 31.12.2018; Dopoldan;279358

DELO V PROIZVODNJI;4.90;LJUBLJANA;Pomoč v proizvodnji pekarne (proizvodnja peciva). Dela se od 15. ure dalje. Pogoj je starost nad 18 let. Možnost kasnejšega sodelovanja.;2; DO 31.10.2018; Popoldan;279356

DELO NA RECEPCIJI;4.80;LJUBLJANA;Podjetje išče simpatično in urejeno osebo za delo na recepciji fitnesa. Pogoji: starost nad 19 let, samoinicijativnost, delovnost, vodljivost, nekonfliktnost in marljivost.;2; DALJ ČASA; Izmensko;279354

POMOČ PRI PRODAJI;4.40;LJUBLJANA;V trgovini ponujajo delo prijetnemu študentu/študentki za svetovanje strankam v trgovinah s kovčki, torbicami in drugo usnjeno galanterijo priznanih blagovnih znamk, prodajo ter urejanje trgovine. Zaželene so izkušnje z delom v trgovini, dobre komunikacijske lastnosti, urejenost, prijaznost, zavzetost in energičnost.;1; DLJE ČASA; Izmensko;279353

ADMINISTRATIVNA DELA;4.73;LJUBLJANA;Pomoč pri organizaciji izobraževanj, pripravi materialov za udeležence, tel. obveščanju interesentov in udeležencev izobraževanj, urejanju različnih baz. Izkušnje s tovrstnim delom so prednost. Pogoji: starost nad 24 let, obvladanje Excela in svetovnega spleta ter tel. komunikacije, zanesljivost, iznajdljivost, samostojnost, urejenost in komunikacijske kompetence. Prijavo in CV pošlji na e-naslov.;1; PO DOGOVORU; Dopoldan;279352

FIZIČNA DELA;5.07;KOZJE;Iščejo polnoletno osebo za pomoč v manipulaciji paketov (sprejem paketov). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;1; DLJE ČASA; Po dogovoru;279351

PISMONOŠA;5.07;VELENJE;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;4; DLJE ČASA; Po dogovoru;279350

PISMONOŠA;5.07;SLOVENSKE KONJICE;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;3; DLJE ČASA; Po dogovoru;279348

PISMONOŠA;5.07;VOJNIK;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;3; DLJE ČASA; Po dogovoru;279347

PISMONOŠA;5.07;ŽALEC;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;3; DLJE ČASA; Po dogovoru;279346

PISMONOŠA;5.07;CELJE (3102);Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;6; DLJE ČASA; Po dogovoru;279345

PISMONOŠA;5.07;ŠENTJUR;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;3; DLJE ČASA; Po dogovoru;279344

PISMONOŠA;5.07;ZREČE;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta) in osebo za pomoč v manipulaciji paketov (sprejem paketov). Urna postavka za pismonošo je 6,00 € bruto in povračilo za stroške goriva (za motor). Za težja manipulacijska dela je urna postavka 6,00 € bruto, za enostavna pa 4,73 € bruto.;2; DLJE ČASA; Po dogovoru;279342

KOMERCIALNA DELA;4.50;LJUBLJANA;Podjetje išče samoiniciativno, odgovorno osebo za delo v pisarni.   Pogoja: poznavanje angleškega jezika in starost nad 24 let. Možnost kasnejše redne zaposlitve. Prijave s CV-ji sprejemajo na e-mail.;1; DLJE ČASA; Dopoldan;279341

PISMONOŠA;5.07;ŠMARTNO OB PAKI;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta). Urna postavka je 6,00 € bruto in povračilo za stroške goriva (za motor).;1; DLJE ČASA; Po dogovoru;279338

STREŽBA;5.00;LJUBLJANA;Strežba pijače v manjšem gostinskem lokalu. Dela se 2-3x na teden, vikendi so prosti. Pogoj je starost nad 18 let. Zaželene so izkušnje. Pokliči.;1; DLJE ČASA; Izmensko;279337

DELO NA RECEPCIJI;5.07;LJUBLJANA;Nočno delo na recepciji. Pogoji: starost nad 19 let, vsaj V. stopnja izobrazbe, aktivno znanje vsaj enega tujega jezika in komunikativnost. Prijavo in CV pošljite na e-naslov.;1; DLJE ČASA; Po dogovoru;279336

POLNJENJE POLIC;4.65;LJUBLJANA;Polnjenje polic na programu čokoladnih slaščic. Pogoja sta starost nad 18 let in znanje slovenskega jezika.;2; DO KONCA LETA; Popoldan;279335

PISMONOŠA;5.07;ROGAŠKA SLATINA;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta). Urna postavka je 6,00 € bruto in povračilo za stroške goriva (za motor).;2; DLJE ČASA; Po dogovoru;279334

RAČUNOVODSKA DELA;4.50;SLOVENSKE KONJICE;Podjetje potrebuje osebo za delo v računovodstvu (knjiženje, saldakonti, pošta, revizija ...). Pogoj je ekonomska fakulteta, smer računovodstvo. Prijave sprejemajo na e-mail.;1; DLJE ČASA; Dopoldan;279333

PISMONOŠA;5.07;ŠMARJE PRI JELŠAH;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta). Urna postavka je 6,00 € bruto in povračilo za stroške goriva (za motor).;2; DLJE ČASA; Po dogovoru;279331

PISMONOŠA;5.07;LOČE;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta). Urna postavka je 6,00 € bruto in povračilo za stroške goriva (za motor).;1; DLJE ČASA; Po dogovoru;279330

BLAGAJNIK;4.22;LJUBLJANA;Vabljeni na razgovor zanesljivi/e in odgovorni/e študenti/tke. Urna postavka je med tednom 5 €/h bruto, ob nedeljah pa 6 €/h bruto. Pogoj je starost nad 18 let. Delo poteka dopoldne, popoldne in ob vikendih.;1; DLJE ČASA; Izmensko;279329

PISMONOŠA;5.07;LAŠKO;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta). Urna postavka je 6,00 € bruto in povračilo za stroške goriva (za motor).;1; DLJE ČASA; Po dogovoru;279328

PISMONOŠA;5.07;NAZARJE;Iščejo polnoletno osebo za delo v dostavi, kot pismonoša, z motorjem ali avtom (v tem primeru je pogoj vozniški izpit B kategorije vsaj 3 leta). Urna postavka je 6,00 € bruto in povračilo za stroške goriva (za motor).;1; DLJE ČASA; Po dogovoru;279326

DELO NA BENCINSKEM SERVISU;4.00;KOZINA;Dvoizmensko delo med tednom in vikendi. Pogoj je starost nad 18 let. Pridni študenti/ke so dodatno nagrajeni/e.;1; PO DOGOVORU; Izmensko;279325

FIGURANT;5.00;SLOVENSKA BISTRICA Z OKOLICO;Iščejo figuranta/ko - pomožna geodetska dela na terenu. Delo bo potekalo med tednom dopoldan, glede na dogovor z geodetom.;1; PO DOGOVORU; Dopoldan;279322

POMOČ PRI PRODAJI;4.00;NOVA GORICA;Podjetje potrebuje polnoletno, komunikativno in samoiniciativno osebo za pomoč pri prodaji modnih oblačil. Pogoja: izkušnje in veselje do dela s strankami. Interesenti naj pokličejo na kontakt podjetja.;1; DLJE ČASA; Izmensko;279321

POMOČ PRI PRODAJI;4.00;ČRNOMELJ;Podjetje potrebuje dve osebi za pomoč pri prodaji v trgovini z živili.;2; OD 22. 10. DO  29. 11. 2018; Izmensko;279318

STREŽBA;4.65;CELJE;Iščejo polnoletno osebo za pomoč v strežbi. Delo poteka od ponedeljka do sobote, nedelje in prazniki so prosti. Zaželene so izkušnje v strežbi.;1; DLJE ČASA; Izmensko;279316

STREŽBA;5.07;CELJE;Kavarna išče več oseb za pomoč v strežbi. Pogoja sta starost nad 18 let in izkušnje v strežbi.;3; DLJE ČASA; Po dogovoru;279314

DELO NA RECEPCIJI;5.50;RIMSKE TOPLICE;Iščejo polnoletno osebo za delo na recepciji - sprejem rezervacij, prijava/odjava gostov, priprava raznih materialov in ostala dela po dogovoru. Pogoji: znanje vsaj dveh tujih jezikov in komunikacijske sposobnosti.;2; PO DOGOVORU; Po dogovoru;279307

POMOČ UPORABNIKOM;5.07;LJUBLJANA;Iščejo odgovorno in natančno osebo višjega letnika, ki bo skrbela za pomoč uporabnikom in administracijo informacijskega sistema za glasbene šole. Delo poteka v pisarni in zajema sprejemanje klicev znotraj uradnih ur, odgovarjanje na emaile, delo s programsko opremo za vedenje projektov in urejanje dokumentacije. Potrebne so izkušnje na področju uporabe spletnih aplikacij, Word, Excel.;1; DLJE ČASA; Dopoldan;279305

STREŽBA HRANE IN PIJAČE;6.00;ŠKOFJA LOKA;Pogoji: starost 20 let, zaželene delovne izkušnje, urejenost in fleksibilnost.;1; PO DOGOVORU; med vikendom;279301

STREŽBA;6.00;POLJANE NAD ŠKOFJO LOKO;Podjetje išče polnoletno, komunikativno in urejeno osebo, ki ima veselje do dela s strankami.;2; PO DOGOVORU; Po dogovoru;279300

INŠTRUKCIJE;15.00;IVANČNA GORICA;Potrebujejo osebo za učenje branja in pisanja za 1. in 2. razred. Zaželena je pedagoška smer izobraževanja (specialna pedagogika). Nudijo tudi povračilo stroškov prevoza. Delo se izvaja 1-2x ali 3x tedensko po 1 uro. Prijave sprejemajo na elektronski naslov ali preko telefona.;1; DLJE ČASA; Popoldan;279298

POMOČ PRI PRODAJI;5.50;PRETEŽNO LJUBLJANA;Delo obsega komisioniranje in dostavo blaga do kupcev s kombijem, pripravo dokumentov, pisanje naročil, korespodenca z dobavitelji in kupci. Primeren kandidat je študent/ka (2. ali višji letnik), ki ima veljaven vozniški izpit B-kategorije. Biti mora pripravljen na učenje poslovnih praks. Pošlji prijavo z  CV na e-mail. Opravili bodo razgovore.;1; DLJE ČASA, PO DOGOVORU, 3-4 X TEDENSKO; Dopoldan;279295

ČIŠČENJE;4.00;CELJE Z OKOLICO;Iščejo osebo za generalna čiščenja stavb (ročno, strojno ...).;2; PO DOGOVORU; Izmensko;279273

