delovno_mesto;placilo;lokacija;opis;st_prostih_mest;trajanje;delovnik;sifra
PROGRAMIRANJE;8.45;LJUBLJANA;Razvoj programskih modulov za igralne aparate glede na navodila vodje skupine, izvajanje in evidentiranje popravkov obstoječih modulov programske opreme, testiranje posameznih razvojnih komponent, sodelovanje pri izvedbi komunikacijskih protokolov za nove igralne aparate. Zaželene delovne izkušenj na področju razvoja, znanje NET C# in poznavanje principov objektnega programiranja, znanje programskega jezika ActionScript 3.0.;2; DLJE ČASA, MOŽNOST KASNEJŠE REDNE ZAPOSLITVE; Dopoldan;280615

POMOČ PRI PRODAJI;4.00;LJUBLJANA;Podjetje išče študenta/ko za pomoč pri prodaji v trgovini z oblačili. Zaželene so izkušnje s prodajo. Pogoj je razpoložljivost za delo med tednom in med vikendi. med vikendom je plačilo 5,5 €/h bruto.;2; DLJE ČASA; Izmensko;280614

DELO V LABORATORIJU;4.65;GROSUPLJE;Farmacevtsko podjetje išče osebo za pomoč v laboratoriju in pisarni v oddelku kontrole kakovosti. Pogoji: komuniciranje v angleškem jeziku, obvezna farmacevtska smer izobrazbe. Vsi kandidati naj pošljejo svoj CV z delovnimi izkušnjami na e-mail v angleškem jeziku.;1; DLJE ČASA; Dopoldan;280613

PROGRAMIRANJE;8.45;SEŽANA;Razvoj programskih modulov za igralne aparate glede na navodila vodje skupine, izvajanje in evidentiranje popravkov obstoječih modulov programske opreme, testiranje posameznih razvojnih komponent, sodelovanje pri izvedbi komunikacijskih protokolov za nove igralne aparate. Zaželene delovne izkušenj na področju razvoja, znanje NET C# in poznavanje principov objektnega programiranja, znanje programskega jezika ActionScript 3.0.;2; DLJE ČASA, MOŽNOST KASNEJŠE REDNE ZAPOSLITVE; Dopoldan;280612

POMOČ V STREŽBI;4.22;TRZIN;Pogoji so resnost, odgovornost, komunikativnost. Izkušnje so zaželene.;1; DLJE ČASA; Dopoldan;280611

BLAGAJNIK;4.30;MARIBOR CENTER;Izkušnje z delom na  blagajni predstavljajo prednost.;1; DALJ ČASA; Izmensko;280610

LAŽJA FIZIČNA DELA;5.00;ŠENTILJ;Podjetje išče osebo za lažja fizična dela - pomoč pri pripravi športnega igrišča. Delo poteka dopoldan, do 17.00 ure.;2; DLJE ČASA; Dopoldan;280609

PROGRAMIRANJE;5.81;LJUBLJANA;Iščejo kandidata/ko s poznavanjem: poslovnih procesov pravnih subjektov (delovni tokovi), programskega jezika JavaScript (prednost imajo kandidati, ki poznajo čim več programskih jezikov: C++, Java, Delphi,..), SQL in delovanja baz podatkov. Znanje angleškega, hrvaškega in/ali srbskega jezika. Dobra ustna in pisna komunikacija, veselje do dela s strankami, povezovalnost in delo na različnih razvojnih projektih ter ustvarjalnost.;1; PO DOGOVORU; Dopoldan;280608

POMOČ PRI PRODAJI;4.22;LJUBLJANA;Podjetje išče več oseb za delo v trgovini z modnimi oblačili Pull & Bear (pomoč pri prodaji, svetovanje, ipd.). K sodelovanju vabijo kandidate, ki jih zanima moda in delo z ljudmi, so urejeni, resni in komunikativni. Z delom se prične takoj. Prijavo in CV s pripisano telefonsko številko pošlji na e-mail (pripis Pull & Bear BTC).;5; DLJE ČASA; Izmensko;280607

STROKOVNO DELO;4.65;LOGATEC;Delo v gradbeništvu: urejanje razpredelnic, branje in risanje načrtov, vodenje delavcev, urejanje dokumentacije ter kontrolo proizvodnje. Pogoji: gradbena smer izobraževanja (gradbeni tehnik, inž. gradbeništva .... ), resnost ter starost nad 17 let. Pokliči ali se prijavi na e-naslov.;1; PO DOGOVORU; Dopoldan;280606

HELPDESK;4.48;LJUBLJANA;Pogoji za delo: poznavanje strežniškega in desktop Windows okolja, delovanja podatkovnih baz, različnih ERP, Linux okolja. Višja izobrazba tehnične smeri, znanje angleškega, hrvaškaga in/ali srbskega jezika. Izpit B kategorije in lasten prevoz. Dobra ustna in pisna komunikacija ter veselje do dela s strankami.;1; PO DOGOVORU; Dopoldan;280605

PRODAJA;4.00;CELJE;Podjetje potrebuje dve polnoletni osebi za prodajo darilnega pograma na božičnem sejmu. Delovni čas je po dogovoru, dopoldan ali popoldan. Pogoji: prijaznost, komunikativnost, resnost. za več info pokličite med 10.00 in 15.00 na telefon, prijavo pošljite s kratkim opisom na e-mail podjetja.;2; DECEMBER 2018; Po dogovoru;280602

DELO V PROIZVODNJI;4.50;LJUBLJANA;Pobiranje časopisov s tekočega traku in dodatna priložnostna dela. Pričetek ob 6. uri.;2; NOVEMBER, MOŽNOST PODALJŠANJA; Dopoldan;280601

STREŽBA;5.50;LJUBLJANA;Pogoj je starost nad 18 let. Potrebujejo več oseb za delo v strežbi in pomoč v kuhinji (priprava sendvičev, vafljev ...). Zaželene so izkušnje pri tovrstnem delu in znanje angleškega jezika.;1; DLJE ČASA; Po dogovoru;280600

STREŽBA HRANE IN PIJAČE;5.50;BOHINJSKO JEZERO;Podjetje išče osebo za strežbo v okrepčevalnici. Dela se občasno (4 do 6 krat mesečno). Pogoj je starost nad 18 let.;1; PO DOGOVORU,VIKENDI; med vikendom;280599

MIZARSKA DELA;4.00;SPODNJA POLSKAVA;Pomoč v lesarski delavnici. Pogoji: lasten prevoz, ročne spretnosti. Predhodne izkušnje niso potrebne. Z delom lahko pričnete takoj. Možnost zvišanja urne postavke. Za prijavo pokličite ali pošljite e-mail.;1; DLJE ČASA; Dopoldan;280597

STREŽBA;5.00;KAMNIK - PEROVO;Prijeten lokal na kamniški obvoznici išče polnoletni osebi za delo v strežbi. Delo poteka med tednom, izmensko, urnik je fleksibilen, vse se da dogovoriti. Začetna urna postavka 5,92 € bruto se ob dobrem delu lahko dvigne tudi na 8,28 € bruto.;2; DLJE ČASA; Izmensko;280596

DELO V DELAVNICI;5.07;CELJE;Podjetje potrebuje osebo za pomoč v avtomehanični delavnici, menjava pnevmatik.;1; DO KONCA NOVEMBRA 2018; Dopoldan;280595

DELO V PROIZVODNJI;4.65;LJUBLJANA;Podjetje potrebuje polnoletno, vestno in zanesljivo osebo za delo in pomoč v proizvodnji. Gre za lažja fizična dela, zlaganje manjših predmetov. Interesenti naj pokličejo ali pošljejo vlogo na podjetje.;1; DLJE ČASA; Popoldan;280592

PAKIRANJE;4.00;VIR PRI DOMŽALAH;Ročno in strojno pakiranje tamponov. Delo poteka v dopoldanski izmeni. Malica je zagotovljena.;5; NOVEMBER; Dopoldan;280591

DELO V LOGISTIKI;6.00;LJUBLJANA;Iščejo študenta/ko višjih letnikov ekonomske ali druge podobne smeri za pomoč v oddelku logistike v mednarodnem podjetju. Obvezno tekoče znanje angleškega jezika in dobro poznavanje Excela. Predhodne izkušnje v logistiki, pri sprejemanju in obdelavi naročil ter izkušnje s SAP sistemom so prednost.;1; PO DOGOVORU; Dopoldan;280590

STREŽBA;5.00;PODPEČ;Za strežbo v prijetnem dnevnem caffe baru iščejo simpatično in komunikativno osebo. Potrebne so izkušnje z delom v strežbi. Delovnik po dogovoru. Delo poteka tudi med vikendi, pogoj je starost nad 18 let.;1; DLJE ČASA; Po dogovoru;280589

DELJENJE LETAKOV;4.00;LJUBLJANA;Deljenje letakov. Pomoč potrebujejo med 8. in 21. uro.;3; CCA. 14 DNI; Po dogovoru;280588

ADMINISTRATIVNA DELA;4.70;GROSUPLJE;Si hiter pri delu z računalnikom? Prijavi se za vnos artiklov v spletno trgovino.;1; PO DOGOVORU; Dopoldan;280587

TELEFONIST;4.65;MARIBOR;Podjetje potrebuje 3 osebe za delo telefonista (ne gre za prodajo). Pričetek dela je ob 8. uri. Pogoji: starost nad 18 let, komunikativnost in odgovornost. Z delom lahko nastopite takoj. Za prijavo pokličite ali pošljite e-mail.;3; DLJE ČASA; Dopoldan;280586

DEKLARIRANJE;4.31;LJUBLJANA;Pomoč pri deklariranju, začetek takoj, za najmanj dva dni. Pokliči.;1; DVA DNI; Dopoldan;280585

DELO NA BENCINSKEM SERVISU;4.22;ŠENČUR;Podjetje išče samoiniciativno osebo, z veseljem do dela s srankami za delo na bencinskem servisu. Dela se tudi med prazniki. Pogoj je starost nad 18 let.;2; DLJE ČASA; med vikendom;280584

POMOČ V STREŽBI;4.50;MARIBOR CENTER;Podjetje potrebuje osebo za pomoč v strežbi, pospravljanje miz in pranje kozarcev.;1; DLJE ČASA; Izmensko;280583

PRODAJA;4.65;KRANJ;Pogoj je starost nad 18 let. Prodaja in zlaganje izdelkov na police na oddelku barve in laki.;1; ZA VSAJ POL LETA; Izmensko;280581

TELEFONSKI MARKETING;4.22;KOPER;Potrebujejo osebo za opravljanje administrativnih del in telefonskega trženja. Pričakujejo poznavanje MS orodij in delo v timu. Pogoj je starost nad 18 let.;2; DLJE ČASA; Dopoldan;280580

ANIMATOR;8.00;LJUBLJANA;Podjetje išče animatorje in igralce za nastopanje v gledaliških predstavah ter za nastopanje kot dobri možje. Delo bo potekalo v decembru. Pogoji: veselje do nastopanja in dela z otroki ter časovna prilagodljivost za vaje in izvedbo predstav. Delo poteka po dogovoru med tednom ter med vikendi. Možnost nadaljnega sodelovanja. Svojo predstavitev pošljite na mail.;3; DLJE ČASA; Po dogovoru;280579

DEŽURSTVO;4.00;VIŠNJA GORA;Nočno in vikend dežurstvo v terapevtskem centru za odvisnike. Med tednom se prične ob 21.30, med vikendi ob 20. uri. Pogoj je starost nad 20 let, razčiščen odnos do drog, alkohola, osebna zrelost, odgovornost, zanesljivost, občutek za delo z ranljivo populacijo, empatija, prilagodljivost.;3; DLJE ČASA; Po dogovoru;280578

PROMOCIJA;4.00;MARIBOR;Iščejo komunikativne, hitro učljive in časovno razpoložljive študente/-ke za delo promocij v bančnih poslovalnicah. Želene so izkušnje pri delu s strankami ter časovna razpoložljivost. Prijavo in CV oddajte na e-mail. V prijavi nujno navedite želen kraj dela.;1; PO DOGOVORU; Po dogovoru;280577

FIZIČNA DELA;5.07;SLOVENSKE KONJICE;Podjetje potrebuje polnoletne, fizično močne in vestne osebe za postavljanje (9.11.) in podiranje (12.11.) prireditvenega šotora. Dela se od 8. do cca 16. ure, oz po dogovoru. Podjetje plača tudi malico. Interesenti naj pokličejo na telefonski kontakt med 8. in 16. uro.;8; PETEK, 9.11. IN PONEDELJEK, 12.11.2018; Po dogovoru;280576

FIZIČNA DELA;5.07;HAJDINA;Podjetje potrebuje polnoletne, fizično močne in vestne osebe za postavljanje (7.11.) in podiranje (12.11.) prireditvenega šotora. Dela se od 8. do cca 16. ure, oz po dogovoru. Podjetje plača tudi malico. Interesenti naj pokličejo na telefonski kontakt med 8. in 16. uro.;8; SREDA, 7.11. IN PONEDELJEK, 12.11.2018; Po dogovoru;280575

VNOS PODATKOV V RAČUNALNIK;5.00;CELJE;Podjetje potrebuje več študentov/-tk za vnos metapodatkov. Delovni čas je od 7. do 15. ure (brez vikendov). Potrebno je znanje hitrega tipkanja in predvsem natančnost.;3; DO 15.11.2018; Dopoldan;280574

